#            e                         p                        s                        T
    0.0003891900076364809     8.09747488823097e-05      0.00940329513037581                     0.05
      0.01924519290380928      0.00423513607951304      0.22644557420078348      0.10369082754738634
      0.03810119579998208     0.007899217713538947      0.39748298186625464       0.1157292654330526
      0.05695719869615488     0.011340947934378268       0.5551832935923421      0.12301909552898552
      0.07581320159232768     0.014651613741199446       0.7051215007975207      0.12829677613178408
      0.09466920448850048     0.017873769306562436       0.8496823895775086       0.1324529908770066
      0.11352520738467328       0.0210313306133559       0.9901745270430885      0.13589173860071824
       0.1323812102808461     0.024139307626304358       1.1274175101168713        0.138831015575521
      0.15123721317701888      0.02720784076599483        1.261969440758743       0.1414020404770863
      0.17009321607319167      0.03024415254493217       1.3942330438556003      0.14369001617126545
      0.18894921896936448      0.03325359653052618       1.5245115997830199      0.14575344361532983
       0.2078052218655373      0.03624026610878428       1.6530411130446636      0.14763425183347373
      0.22666122476171008       0.0392073724037781       1.7800100719648704      0.14936353527034157
      0.24551722765788286      0.04215748573186679       1.9055722282777512       0.1509650010221596
       0.2643732305540557       0.0450926993719629       2.0298552129829233      0.15245714470011418
       0.2832292334502285     0.048014744344691246       2.1529665473806356       0.1538546793483258
       0.3020852363464013      0.05092506940201367       2.2749979589910967       0.1551695043739582
      0.32094123924257406      0.05382490175576087       2.3960285570815643      0.15641138328284848
      0.33979724213874685       0.0567152893893898        2.516127218883685      0.15758842738645584
       0.3586532450349197      0.05959713599585977        2.635354415908112      0.15870745069659076
       0.3775092479310925      0.06247122680323799       2.7537636344663357       0.1597742337895301
      0.39636525082726526       0.0653382488051322       2.8714024964710245       0.1607937236941998
       0.4152212537234381      0.06819880580948302       2.9883136551053955      0.16177018724490996
       0.4340772566196109      0.07105343221742995       3.1045355188261725      0.16270733118493397
      0.45293325951578367       0.0739026052622232       3.2201028426837786       0.1636083971588057
      0.47178926241195646       0.0767467483102022       3.3350472158277777          0.1644762353345
      0.49064526530812924      0.07958624414814951       3.4493974668743044      0.16531336702493668
       0.5095012682043021      0.08242144592631102       3.5631800031913587      0.16612203526076655
       0.5283572711004749      0.08525276579763778        3.676419089714872      0.16690426796410246
       0.5472132739966477       0.0880807961504825       3.7891370655640397      0.16766193968561602
       0.5660692768928205      0.09090636051040954         3.90135451470153       0.1683968055011508
       0.5849252797889932      0.09373051032499516       4.0130904102430085      0.16911051602071758
       0.6037812826851661      0.09655449510278644        4.124362243243003      0.16980462347489525
       0.6226372855813389      0.09937972223647375        4.235186141128041      0.17048058426671736
       0.6414932884775116      0.10220771560276389        4.345576978030915      0.17113976069002101
       0.6603492913736845      0.10504007755957559        4.455548477888232      0.17178342301328225
       0.6792052942698572      0.10787845630445445        4.565113310584553      0.17241275232958617
         0.69806129716603       0.1107245188914708        4.674283181254342      0.17302884414471087
       0.7169173000622029      0.11357992934199788        4.783068912864306      0.17363271249773057
       0.7357733029583756       0.1164463320181256         4.89148052227071      0.17422529459053965
       0.7546293058545485      0.11932533885614698        4.999527290032912      0.17480745558745459
       0.7734853087507213      0.12221851858858353        5.107217824337155      0.17537999320707542
        0.792341311646894      0.12512738965141632         5.21456011942287      0.17594364247158256
       0.8111973145430669      0.12805341471808732        5.321561608936918      0.17649908021055255
       0.8300533174392397       0.1309979949774419       5.4282292146392495      0.17704692901044922
       0.8489093203354124      0.13396246812820908        5.534569390879472      0.17758776140440405
       0.8677653232315853      0.13694810368020052        5.640588165248087      0.17812210313489463
        0.886621326127758      0.13995610188311805        5.746291175767831       0.1786504367095012
       0.9054773290239309      0.14298758981803536        5.851683704988541      0.17917320410673485
       0.9243333319201037      0.14604362048276556         5.95677071128104      0.17969080971603793
       0.9431893348162764      0.14912516895231473        6.061556857639693      0.18020362250531244
       0.9620453377124493      0.15223313162326826        6.166046538227632      0.18071197848208354
        0.980901340608622      0.15536832213181104        6.270243902908023       0.1812161823902021
       0.9997573435047948      0.15853147051494243        6.374152879955553      0.18171650975961748
       1.0186133464009677      0.16172321956262592        6.477777197112942      0.18221320833474386
       1.0374693492971405      0.16494412311034629        6.581120401167027      0.18270649967052166
       1.0563253521933134      0.16819464399702658        6.684185876136329      0.18319658053826463
        1.075181355089486      0.17147515121707543       6.7869768602149305      0.18368362409107758
       1.0940373579856588      0.17478591945429128        6.889496461535061      0.18416778127747835
       1.1128933608818317      0.17812712689859328        6.991747672826334      0.18464918189167784
       1.1317493637780045      0.18149885474085506        7.093733385044861      0.18512793577602926
       1.1506053666741773      0.18490108761795798       7.1954563999901575       0.1856041340607612
         1.16946136957035      0.18833371329934248         7.29691944196346      0.18607785020363826
       1.1883173724665228      0.19179652464942648        7.398125168489694      0.18654914126002758
       1.2071733753626956      0.19528922207438937        7.499076180106826      0.18701804912416647
       1.2260293782588685       0.1988114160412221       7.5997750292507495      0.18748460169097447
       1.2448853811550413      0.20236263170614457       7.7002242282402085      0.18794881421160078
        1.263741384051214       0.2059423141420806         7.80042625636316      0.18841069063301602
       1.2825973869473868      0.20954983395396123         7.90038356608315      0.18887022489733676
       1.3014533898435596       0.2131844944784007        8.000098588375524        0.189327402355115
       1.3203093927397325      0.21684553971514267         8.09957373720503      0.18978220117856606
       1.3391653956359053      0.22053216262455036        8.198811413170983      0.19023459373085216
        1.358021398532078       0.2242435142197731        8.297814006347577      0.19068454794738302
       1.3768774014282508      0.22797871325213168        8.396583898352237      0.19113202870459292
       1.3957334043244236      0.23173685594753038        8.495123463685989       0.1915769991135365
       1.4145894072205965      0.23551702589500245        8.593435070395257       0.1920194217560664
